match_id,ID,first name,last name,team_name,minute,yellow card,red card,2nd yellow card,match_period
M-2022-32,P-10712,Rúben,Dias,Portugal,89',1,0,0,second half
M-2022-33,P-40621,Idrissa,Gueye,Senegal,66',1,0,0,second half
M-2022-34,P-64438,Nathan,Aké,Netherlands,52',1,0,0,second half
M-2022-35,P-14151,Tyler,Adams,United States,43',1,0,0,first half
M-2022-35,P-15905,Majid,Hosseini,Iran,77',1,0,0,second half
M-2022-35,P-74612,Hossein,Kanaanizadegan,Iran,83',1,0,0,second half
M-2022-35,P-62858,Abolfazl,Jalali,Iran,90'+6',1,0,0,"second half, stoppage time"
M-2022-36,P-74707,Daniel,James,Wales,29',1,0,0,first half
M-2022-36,P-86951,Aaron,Ramsey,Wales,61',1,0,0,second half
M-2022-37,P-51118,Aziz,Behich,Australia,4',1,0,0,first half
M-2022-37,P-59727,Miloš,Degenek,Australia,57',1,0,0,second half
M-2022-37,P-76468,Robert,Skov,Denmark,75',1,0,0,second half
M-2022-38,P-27079,Wajdi,Kechrida,Tunisia,28',1,0,0,first half
M-2022-39,P-73712,Marcos,Acuña,Argentina,49',1,0,0,second half
M-2022-39,P-45449,Grzegorz,Krychowiak,Poland,78',1,0,0,second half
M-2022-40,P-26546,Edson,Álvarez,Mexico,16',1,0,0,first half
M-2022-40,P-37308,Saleh,Al-Shehri,Saudi Arabia,28',1,0,0,first half
M-2022-40,P-45413,Ali,Al-Hassan,Saudi Arabia,34',1,0,0,first half
M-2022-40,P-93173,Hassan,Al-Tambakti,Saudi Arabia,52',1,0,0,second half
M-2022-40,P-20388,Abdullah,Madu,Saudi Arabia,81',1,0,0,second half
M-2022-40,P-12335,Abdulelah,Al-Amri,Saudi Arabia,90'+1',1,0,0,"second half, stoppage time"
M-2022-40,P-84563,Hattan,Bahebri,Saudi Arabia,90'+7',1,0,0,"second half, stoppage time"
M-2022-41,P-27541,Jonathan,Osorio,Canada,26',1,0,0,first half
M-2022-41,P-55821,Sam,Adekugbe,Canada,45'+2',1,0,0,"first half, stoppage time"
M-2022-41,P-35706,Junior,Hoilett,Canada,7',1,0,0,first half
M-2022-41,P-89710,Steven,Vitória,Canada,84',1,0,0,second half
M-2022-42,P-73834,Leander,Dendoncker,Belgium,67',1,0,0,second half
M-2022-43,P-97912,Óscar,Duarte,Costa Rica,77',1,0,0,second half
M-2022-44,P-35225,Ko,Itakura,Japan,39',1,0,0,first half
M-2022-44,P-77382,Shogo,Taniguchi,Japan,44',1,0,0,first half
M-2022-44,P-89321,Maya,Yoshida,Japan,45',1,0,0,first half
M-2022-45,P-18885,Darwin,Núñez,Uruguay,20',1,0,0,first half
M-2022-45,P-30486,Luis,Suárez,Uruguay,60',1,0,0,second half
M-2022-45,P-33325,Kamaldeen,Sulemana,Ghana,86',1,0,0,second half
M-2022-45,P-20051,Sebastián,Coates,Uruguay,87',1,0,0,second half
M-2022-45,P-65659,José,Giménez,Uruguay,90'+10',1,0,0,"second half, stoppage time"
M-2022-45,P-59138,Edinson,Cavani,Uruguay,90'+10',1,0,0,"second half, stoppage time"
M-2022-45,P-36105,Alidu,Seidu,Ghana,90'+9',1,0,0,"second half, stoppage time"
