match_id,ID,first name,last name,team_name,minute,own goal,penalty,match_period
M-2022-60,P-54517,Aurélien,Tchouaméni,France,17',0,0,first half
M-2022-60,P-58924,Harry,Kane,England,54',0,1,second half
M-2022-60,P-89750,Olivier,Giroud,France,78',0,0,second half
M-2022-61,P-14758,Lionel,Messi,Argentina,34',0,1,first half
M-2022-61,P-19776,Julián,Álvarez,Argentina,39',0,0,first half
M-2022-61,P-19776,Julián,Álvarez,Argentina,69',0,0,second half
M-2022-62,P-09867,Théo,Hernandez,France,5',0,0,first half
M-2022-62,P-92987,Randal,Kolo Muani,France,79',0,0,second half
M-2022-63,P-26942,Mislav,Oršic,Croatia,42',0,0,first half
M-2022-63,P-58420,Joško,Gvardiol,Croatia,7',0,0,first half
M-2022-63,P-52013,Achraf,Dari,Morocco,9',0,0,first half
M-2022-64,P-14758,Lionel,Messi,Argentina,108',0,0,"extra time, second half"
M-2022-64,P-64077,Kylian,Mbappé,France,118',0,1,"extra time, second half"
M-2022-64,P-14758,Lionel,Messi,Argentina,23',0,1,first half
M-2022-64,P-42113,Ángel,Di María,Argentina,36',0,0,first half
M-2022-64,P-64077,Kylian,Mbappé,France,80',0,1,second half
M-2022-64,P-64077,Kylian,Mbappé,France,81',0,0,second half
