booking_id,match_id,player_id,minute,yellow card,red card,2nd yellow card,match_period
B-158,M-2022-48,P-38927,15',1,0,0,first half
B-159,M-2022-48,P-85823,34',1,0,0,first half
B-160,M-2022-48,P-27744,47',1,0,0,second half
B-161,M-2022-48,P-98435,56',1,0,0,second half
B-162,M-2022-48,P-35773,66',1,0,0,second half
B-163,M-2022-48,P-24610,81',1,0,0,second half
B-164,M-2022-48,P-85696,82',1,0,0,second half
B-165,M-2022-48,P-78056,90'+10',1,0,0,"second half, stoppage time"
B-166,M-2022-48,P-57535,90'+5',1,0,0,"second half, stoppage time"
B-167,M-2022-48,P-77224,90'+5',1,0,0,"second half, stoppage time"
B-168,M-2022-48,P-25131,90'+9',1,0,0,"second half, stoppage time"
B-169,M-2022-49,P-35705,60',1,0,0,second half
B-170,M-2022-49,P-17688,87',1,0,0,second half
B-171,M-2022-50,P-34822,15',1,0,0,first half
B-172,M-2022-50,P-59727,38',1,0,0,first half
B-173,M-2022-51,P-54517,32',1,0,0,first half
B-174,M-2022-51,P-42160,47',1,0,0,second half
B-175,M-2022-51,P-17099,88',1,0,0,second half
B-176,M-2022-52,P-47321,76',1,0,0,second half
B-177,M-2022-53,P-95766,116',1,0,0,"extra time, second half"
B-178,M-2022-53,P-07670,90',1,0,0,second half
B-179,M-2022-54,P-64292,44',1,0,0,first half
B-180,M-2022-55,P-99025,77',1,0,0,second half
B-181,M-2022-55,P-26068,90',1,0,0,second half
B-182,M-2022-56,P-25131,43',1,0,0,first half
B-183,M-2022-56,P-56868,59',1,0,0,second half
B-184,M-2022-57,P-46461,117',1,0,0,"extra time, second half"
B-185,M-2022-57,P-40137,25',1,0,0,first half
B-186,M-2022-57,P-79215,31',1,0,0,first half
B-187,M-2022-57,P-02305,68',1,0,0,second half
B-188,M-2022-57,P-76060,77',1,0,0,second half
B-189,M-2022-58,P-91431,109',1,0,0,"extra time, second half"
B-190,M-2022-58,P-29298,112',1,0,0,"extra time, second half"
B-191,M-2022-58,P-97615,120'+8',1,0,1,"extra time, second half, stoppage time"
B-192,M-2022-58,P-57903,120'+9',1,0,0,"extra time, second half, stoppage time"
B-193,M-2022-58,P-74111,43',1,0,0,first half
B-194,M-2022-58,P-73712,43',1,0,0,first half
B-195,M-2022-58,P-79650,45',1,0,0,first half
B-196,M-2022-58,P-95036,45'+2',1,0,0,"first half, stoppage time"
B-197,M-2022-58,P-27540,76',1,0,0,second half
B-198,M-2022-58,P-23070,76',1,0,0,second half
B-199,M-2022-58,P-10326,88',1,0,0,second half
B-200,M-2022-58,P-27582,89',1,0,0,second half
B-201,M-2022-58,P-14758,90'+10',1,0,0,"second half, stoppage time"
B-202,M-2022-58,P-49114,90'+12',1,0,0,"second half, stoppage time"
B-203,M-2022-58,P-44799,91',1,0,0,"extra time, first half"
B-204,M-2022-59,P-52013,70',1,0,0,second half
